#         t          m          r          x          y          z         vx         vy         vz
      0.000      0.526      0.595   -377.180    611.080   -284.520     71.590    -73.360     52.610
     14.286      4.471      3.003   -376.130    610.110   -283.910     73.170    -73.650     51.240
     28.571      4.629      3.095   -374.970    609.050   -283.280     72.470    -76.000     55.240
     42.857      4.324      2.906   -373.880    608.010   -282.620     72.980    -75.980     54.970
     57.143      4.067      2.774   -372.740    606.950   -281.980     75.200    -77.530     55.380
     71.429      4.485      3.002   -371.610    605.820   -281.240     74.250    -78.450     56.260
     85.714      0.524      0.599   -370.520    604.720   -280.510     73.800    -79.240     56.700
    100.000      0.346      0.499   -369.560    603.620   -279.670     71.070    -77.870     55.850
    114.286      0.306      0.495   -368.510    602.540   -278.970     72.570    -78.030     54.420
    128.571      0.464      0.600   -367.370    601.430   -278.260     72.360    -77.490     53.480
    142.857      0.454      0.599   -366.280    600.320   -277.540     72.910    -77.610     54.140
    157.143      0.387      0.556   -365.150    599.230   -276.830     74.360    -79.050     56.410
    171.429      0.492      0.613   -364.040    598.100   -276.070     73.130    -78.690     55.690
    185.714      0.524      0.592   -362.950    596.990   -275.330     71.670    -80.220     58.230
    200.000      0.491      0.558   -361.940    595.920   -274.570     73.090    -79.460     56.870
    214.286      0.392      0.523   -360.960    594.850   -273.800     71.050    -78.650     55.520
    228.571      0.490      0.567   -359.970    593.810   -273.110     73.390    -78.490     53.070
    242.857      0.479      0.557   -359.010    592.780   -272.440     73.280    -79.670     52.860
    257.143      0.382      0.506   -357.960    591.700   -271.770     72.900    -79.230     51.810
    271.429      0.458      0.557   -356.910    590.640   -271.130     72.880    -80.000     52.780
    285.714      0.465      0.549   -355.890    589.550   -270.470     71.360    -81.620     52.530
    300.000      0.505      0.566   -354.870    588.410   -269.770     71.740    -83.250     54.240
    314.286      0.440      0.518   -353.900    587.250   -269.000     69.150    -79.620     51.480
    328.571      0.516      0.584   -352.860    586.150   -268.350     71.730    -81.380     52.180
    342.857      0.446      0.538   -351.870    585.030   -267.630     70.360    -82.340     53.130
    357.143      0.532      0.605   -350.920    583.910   -266.950     71.280    -83.460     50.100
    371.429      4.001      2.592   -350.010    582.800   -266.270     69.740    -82.720     50.820
    385.714     16.546     14.391   -349.010    581.720   -265.700     70.890    -82.790     50.450
    400.000     17.346     14.894   -348.080    580.570   -264.990     69.090    -83.250     50.230
    414.286     15.856     13.648   -347.200    579.430   -264.240     67.270    -81.080     47.880
    428.571      4.494      3.015   -346.220    578.300   -263.610     68.720    -81.530     45.180
    442.857      4.511      3.041   -345.320    577.160   -262.980     69.030    -82.650     44.400
    457.143      3.695      2.434   -344.380    576.020   -262.370     67.650    -82.460     44.810
    471.429      4.005      2.537   -343.470    574.880   -261.780     69.350    -82.470     42.610
    485.714      4.230      2.733   -342.560    573.720   -261.130     70.280    -82.830     43.890
    500.000      4.217      2.759   -341.610    572.560   -260.480     68.340    -82.380     42.160
    514.286      0.497      0.580   -340.660    571.380   -259.840     69.110    -83.260     44.220
    528.571      0.522      0.588   -339.690    570.170   -259.160     69.040    -83.410     44.020
    542.857      4.193      2.718   -338.780    569.000   -258.500     68.340    -83.050     42.550
    557.143      4.516      2.984   -337.870    567.840   -257.900     69.410    -82.980     41.640
    571.429      0.565      0.611   -336.950    566.680   -257.230     67.660    -81.950     41.690
    585.714      0.499      0.577   -335.980    565.520   -256.640     69.070    -83.160     41.720
    600.000      0.897      0.812   -334.980    564.310   -256.070     68.920    -83.930     43.120
    614.286      0.451      0.539   -334.040    563.110   -255.400     67.510    -83.880     43.880
    628.571      0.414      0.512   -333.080    561.900   -254.730     66.460    -83.990     43.590
    642.857      4.211      2.756   -332.160    560.690   -254.080     66.710    -84.710     43.280
    657.143      4.270      2.780   -331.290    559.470   -253.420     63.820    -83.330     42.460
    671.429      4.395      2.799   -330.450    558.280   -252.760     63.950    -82.560     40.720
    685.714      4.122      2.645   -329.580    557.080   -252.090     63.320    -82.340     41.660
    700.000      3.899      2.566   -328.770    555.900   -251.430     61.660    -83.050     42.560
    714.286      4.499      3.025   -327.940    554.710   -250.760     59.580    -82.880     42.510
    728.571      0.459      0.542   -327.150    553.530   -250.120     57.980    -82.660     43.220
    742.857      4.577      2.967   -326.420    552.350   -249.420     57.710    -81.210     41.360
    757.143      4.370      2.791   -325.600    551.170   -248.800     56.430    -81.820     42.190
    771.429      4.133      2.663   -324.850    550.020   -248.170     56.040    -80.290     40.370
    785.714      0.518      0.597   -324.100    548.830   -247.500     53.940    -80.620     42.440
    800.000      3.669      2.366   -323.360    547.670   -246.860     51.770    -79.560     41.110
    814.286      0.523      0.593   -322.660    546.510   -246.230     49.150    -78.070     40.730
    828.571      0.498      0.583   -321.930    545.390   -245.640     48.640    -77.070     41.540
    842.857      0.399      0.512   -321.230    544.290   -245.050     48.020    -75.030     38.680
    857.143      0.491      0.587   -320.550    543.170   -244.420     47.280    -75.780     40.480
    871.429      0.534      0.591   -319.870    542.080   -243.830     45.860    -71.930     38.990
    885.714      4.288      2.768   -319.250    541.010   -243.190     45.300    -72.260     38.550
    900.000      4.267      2.811   -318.630    539.960   -242.590     47.320    -71.880     37.610
    914.286      4.406      2.751   -317.960    538.870   -241.960     46.110    -72.150     38.230
    928.571      4.300      2.818   -317.350    537.830   -241.340     45.130    -70.560     37.350
    942.857      4.441      2.885   -316.730    536.800   -240.730     45.850    -69.350     38.480
    957.143      4.381      2.852   -316.120    535.810   -240.140     46.010    -68.780     38.220
    971.429      4.540      2.970   -315.480    534.770   -239.520     45.320    -70.000     40.430
    985.714      4.258      2.740   -314.850    533.730   -238.850     45.410    -67.240     40.200
   1000.000      4.056      2.587   -314.160    532.740   -238.230     45.570    -68.470     41.780
   1014.290      5.623      3.822   -313.470    531.730   -237.610     43.200    -66.330     41.970
   1028.570      4.730      3.076   -312.930    530.760   -236.910     42.400    -66.230     41.390
   1042.860      0.384      0.537   -312.300    529.740   -236.190     41.400    -65.390     44.390
   1057.140      0.456      0.566   -311.680    528.770   -235.490     40.850    -65.330     46.600
   1071.430      0.825      0.765   -311.140    527.920   -234.890     42.320    -63.290     45.680
   1085.710      0.612      0.645   -310.470    526.950   -234.180     43.470    -62.020     44.110
   1100.000      0.433      0.535   -309.780    526.030   -233.520     43.930    -63.320     47.900
   1114.290      0.500      0.585   -309.100    525.110   -232.820     46.400    -63.200     48.140
   1128.570      0.667      0.680   -308.400    524.160   -232.120     45.790    -62.570     48.620
   1142.860      0.496      0.575   -307.760    523.190   -231.340     45.240    -61.070     47.260
   1157.140      4.586      3.029   -307.050    522.230   -230.620     43.280    -61.760     49.130
   1171.430      4.802      3.123   -306.380    521.300   -229.890     46.550    -62.770     50.960
   1185.710      4.714      3.081   -305.710    520.350   -229.090     45.730    -62.430     51.660
   1200.000      5.220      3.414   -305.080    519.500   -228.370     47.040    -62.670     53.020
   1214.290      4.215      2.676   -304.390    518.590   -227.540     47.310    -61.080     52.660
   1228.570      4.276      2.726   -303.690    517.680   -226.760     47.330    -61.000     54.390
   1242.860     17.323     14.898   -302.830    516.660   -225.970     46.120    -62.740     55.710
   1257.140     15.423     13.096   -302.150    515.780   -225.180     46.580    -62.200     55.930
   1271.430     18.409     15.959   -301.470    514.850   -224.350     44.880    -60.780     56.230
   1285.710     19.538     16.831   -300.760    513.990   -223.570     46.490    -59.900     57.580
   1300.000     19.656     17.006   -300.110    513.140   -222.750     46.860    -59.310     54.990
   1314.290     16.786     14.610   -299.390    512.240   -221.920     49.560    -59.620     55.780
   1328.570     18.751     15.904   -298.570    511.350   -221.120     48.350    -58.690     57.790
   1342.860     19.772     17.077   -297.890    510.520   -220.300     51.030    -58.220     57.520
   1357.140     16.470     14.121   -297.140    509.620   -219.410     51.140    -59.760     58.560
   1371.430     18.478     15.747   -296.330    508.740   -218.590     50.970    -61.690     60.030
   1385.710     15.474     13.408   -295.660    507.860   -217.700     51.230    -61.240     59.850
   1400.000      4.898      3.279   -294.950    507.000   -216.760     54.330    -61.930     60.020
   1414.290      4.528      2.844   -294.130    506.080   -215.880     52.190    -61.950     61.950
   1428.570      5.160      3.381   -293.330    505.150   -214.990     52.560    -60.870     61.930
   1442.860      4.108      2.632   -292.510    504.230   -214.070     53.810    -61.560     62.810
   1457.140      4.063      2.619   -291.680    503.300   -213.150     54.940    -61.980     63.820
   1471.430      4.760      3.136   -290.850    502.390   -212.240     55.450    -62.040     63.730
   1485.710      5.703      3.840   -290.020    501.480   -211.320     55.160    -59.640     61.460
   1500.000      5.152      3.453   -289.130    500.590   -210.450     56.790    -61.410     62.560
   1514.290      4.619      2.993   -288.270    499.650   -209.540     55.950    -61.280     62.480
