#         t          x          y          z         vx         vy         vz
      6.730    411.011   -149.526    127.531    -27.714    -39.709    -39.811
      6.740    410.732   -149.923    127.132    -28.032    -39.593    -39.910
      6.750    410.450   -150.318    126.732    -28.350    -39.476    -40.009
      6.760    410.165   -150.712    126.332    -28.669    -39.359    -40.107
      6.770    409.877   -151.105    125.930    -28.988    -39.242    -40.206
      6.780    409.585   -151.497    125.528    -29.307    -39.124    -40.304
      6.790    409.290   -151.888    125.124    -29.626    -39.006    -40.402
      6.800    408.993   -152.277    124.720    -29.946    -38.887    -40.500
      6.810    408.692   -152.666    124.314    -30.266    -38.768    -40.598
      6.820    408.387   -153.053    123.908    -30.586    -38.648    -40.695
      6.830    408.080   -153.439    123.500    -30.906    -38.528    -40.792
      6.840    407.769   -153.823    123.092    -31.227    -38.407    -40.890
      6.850    407.455   -154.207    122.682    -31.548    -38.286    -40.987
      6.860    407.138   -154.589    122.272    -31.869    -38.164    -41.084
      6.870    406.818   -154.970    121.861    -32.190    -38.042    -41.180
      6.880    406.494   -155.350    121.448    -32.512    -37.919    -41.277
      6.890    406.168   -155.728    121.035    -32.834    -37.796    -41.373
      6.900    405.838   -156.106    120.621    -33.156    -37.672    -41.469
      6.910    405.505   -156.482    120.206    -33.479    -37.548    -41.565
      6.920    405.168   -156.857    119.790    -33.802    -37.423    -41.661
      6.930    404.829   -157.230    119.373    -34.125    -37.298    -41.757
      6.940    404.486   -157.603    118.955    -34.448    -37.172    -41.853
      6.950    404.140   -157.974    118.536    -34.772    -37.046    -41.948
      6.960    403.790   -158.344    118.116    -35.096    -36.919    -42.043
      6.970    403.438   -158.712    117.695    -35.420    -36.791    -42.138
      6.980    403.082   -159.079    117.273    -35.745    -36.663    -42.233
      6.990    402.723   -159.445    116.850    -36.070    -36.535    -42.328
      7.000    402.360   -159.810    116.426    -36.395    -36.406    -42.422
      7.010    401.995   -160.173    116.002    -36.721    -36.276    -42.517
      7.020    401.626   -160.536    115.576    -37.047    -36.146    -42.611
      7.030    401.254   -160.896    115.149    -37.373    -36.016    -42.705
      7.040    400.878   -161.256    114.722    -37.700    -35.884    -42.799
      7.050    400.500   -161.614    114.293    -38.027    -35.753    -42.893
      7.060    400.118   -161.971    113.864    -38.354    -35.620    -42.986
      7.070    399.733   -162.326    113.434    -38.682    -35.487    -43.080
      7.080    399.344   -162.681    113.002    -39.010    -35.354    -43.173
      7.090    398.953   -163.034    112.570    -39.339    -35.220    -43.266
      7.100    398.558   -163.385    112.137    -39.667    -35.085    -43.359
      7.110    398.159   -163.735    111.703    -39.997    -34.950    -43.452
      7.120    397.758   -164.084    111.268    -40.326    -34.815    -43.544
      7.130    397.353   -164.432    110.832    -40.656    -34.678    -43.637
      7.140    396.944   -164.778    110.395    -40.986    -34.542    -43.729
      7.150    396.533   -165.122    109.958    -41.317    -34.404    -43.821
      7.160    396.118   -165.466    109.519    -41.648    -34.266    -43.913
      7.170    395.700   -165.808    109.079    -41.979    -34.127    -44.005
      7.180    395.279   -166.148    108.639    -42.311    -33.988    -44.097
      7.190    394.854   -166.487    108.197    -42.643    -33.848    -44.188
      7.200    394.426   -166.825    107.755    -42.975    -33.708    -44.279
      7.210    393.994   -167.162    107.312    -43.308    -33.567    -44.371
      7.220    393.560   -167.497    106.868    -43.642    -33.425    -44.462
      7.230    393.121   -167.830    106.423    -43.976    -33.283    -44.552
      7.240    392.680   -168.162    105.977    -44.310    -33.140    -44.643
      7.250    392.235   -168.493    105.530    -44.644    -32.997    -44.733
      7.260    391.787   -168.822    105.082    -44.979    -32.852    -44.824
      7.270    391.336   -169.150    104.633    -45.315    -32.708    -44.914
      7.280    390.881   -169.476    104.184    -45.651    -32.562    -45.004
      7.290    390.423   -169.801    103.733    -45.987    -32.416    -45.094
      7.300    389.961   -170.125    103.282    -46.324    -32.270    -45.183
      7.310    389.496   -170.447    102.829    -46.661    -32.122    -45.273
      7.320    389.028   -170.767    102.376    -46.998    -31.974    -45.362
      7.330    388.556   -171.086    101.922    -47.336    -31.826    -45.451
      7.340    388.081   -171.404    101.467    -47.675    -31.676    -45.540
      7.350    387.603   -171.720    101.011    -48.014    -31.526    -45.629
      7.360    387.121   -172.034    100.555    -48.353    -31.376    -45.718
      7.370    386.636   -172.347    100.097    -48.693    -31.224    -45.806
      7.380    386.147   -172.659     99.639    -49.034    -31.073    -45.894
      7.390    385.655   -172.969     99.179    -49.375    -30.920    -45.983
      7.400    385.159   -173.277     98.719    -49.716    -30.767    -46.071
      7.410    384.661   -173.584     98.258    -50.058    -30.613    -46.158
      7.420    384.158   -173.889     97.796    -50.400    -30.458    -46.246
      7.430    383.653   -174.193     97.333    -50.743    -30.302    -46.333
      7.440    383.143   -174.495     96.869    -51.086    -30.146    -46.421
      7.450    382.631   -174.796     96.404    -51.430    -29.990    -46.508
      7.460    382.115   -175.095     95.939    -51.774    -29.832    -46.595
      7.470    381.595   -175.393     95.473    -52.119    -29.674    -46.681
      7.480    381.072   -175.689     95.005    -52.464    -29.515    -46.768
      7.490    380.546   -175.983     94.537    -52.810    -29.355    -46.854
      7.500    380.016   -176.276     94.068    -53.156    -29.195    -46.941
      7.510    379.483   -176.567     93.598    -53.503    -29.034    -47.027
      7.520    378.946   -176.856     93.128    -53.851    -28.872    -47.113
      7.530    378.406   -177.144     92.656    -54.199    -28.709    -47.198
      7.540    377.862   -177.430     92.184    -54.547    -28.546    -47.284
      7.550    377.315   -177.715     91.710    -54.896    -28.381    -47.369
      7.560    376.764   -177.998     91.236    -55.246    -28.217    -47.454
      7.570    376.210   -178.279     90.761    -55.596    -28.051    -47.539
      7.580    375.652   -178.559     90.286    -55.947    -27.884    -47.624
      7.590    375.091   -178.837     89.809    -56.298    -27.717    -47.709
      7.600    374.526   -179.113     89.331    -56.650    -27.549    -47.793
      7.610    373.958   -179.388     88.853    -57.003    -27.380    -47.877
      7.620    373.386   -179.661     88.374    -57.356    -27.211    -47.961
      7.630    372.811   -179.932     87.894    -57.709    -27.040    -48.045
      7.640    372.232   -180.202     87.413    -58.063    -26.869    -48.129
      7.650    371.650   -180.470     86.931    -58.418    -26.697    -48.213
      7.660    371.064   -180.736     86.449    -58.774    -26.524    -48.296
      7.670    370.474   -181.000     85.965    -59.130    -26.350    -48.379
      7.680    369.881   -181.263     85.481    -59.486    -26.176    -48.462
      7.690    369.285   -181.524     84.996    -59.844    -26.001    -48.545
      7.700    368.684   -181.783     84.510    -60.202    -25.824    -48.627
      7.710    368.081   -182.040     84.024    -60.560    -25.647    -48.710
      7.720    367.473   -182.296     83.536    -60.919    -25.469    -48.792
      7.730    366.862   -182.550     83.048    -61.279    -25.291    -48.874
      7.740    366.248   -182.802     82.559    -61.640    -25.111    -48.956
      7.750    365.629   -183.052     82.069    -62.001    -24.931    -49.037
      7.760    365.008   -183.300     81.578    -62.362    -24.749    -49.119
      7.770    364.382   -183.547     81.086    -62.725    -24.567    -49.200
      7.780    363.753   -183.791     80.594    -63.088    -24.384    -49.281
      7.790    363.120   -184.034     80.101    -63.452    -24.200    -49.362
      7.800    362.484   -184.275     79.607    -63.816    -24.015    -49.442
      7.810    361.844   -184.515     79.112    -64.181    -23.829    -49.523
      7.820    361.200   -184.752     78.616    -64.547    -23.642    -49.603
      7.830    360.553   -184.988     78.120    -64.914    -23.454    -49.683
      7.840    359.902   -185.221     77.622    -65.281    -23.265    -49.763
      7.850    359.247   -185.453     77.124    -65.649    -23.076    -49.842
      7.860    358.589   -185.683     76.626    -66.018    -22.885    -49.922
      7.870    357.927   -185.911     76.126    -66.387    -22.693    -50.001
      7.880    357.261   -186.137     75.626    -66.757    -22.501    -50.080
      7.890    356.592   -186.361     75.124    -67.128    -22.307    -50.158
      7.900    355.919   -186.583     74.622    -67.500    -22.113    -50.237
      7.910    355.242   -186.803     74.120    -67.872    -21.917    -50.315
      7.920    354.561   -187.021     73.616    -68.245    -21.721    -50.393
      7.930    353.877   -187.237     73.112    -68.619    -21.523    -50.471
      7.940    353.189   -187.451     72.607    -68.994    -21.325    -50.549
      7.950    352.497   -187.664     72.101    -69.369    -21.125    -50.626
      7.960    351.802   -187.874     71.594    -69.745    -20.925    -50.703
      7.970    351.102   -188.082     71.087    -70.122    -20.723    -50.780
      7.980    350.399   -188.288     70.579    -70.500    -20.520    -50.857
      7.990    349.692   -188.493     70.070    -70.878    -20.317    -50.933
      8.000    348.982   -188.695     69.560    -71.258    -20.112    -51.009
      8.010    348.267   -188.895     69.049    -71.638    -19.906    -51.085
      8.020    347.549   -189.093     68.538    -72.019    -19.699    -51.161
      8.030    346.827   -189.289     68.026    -72.401    -19.491    -51.237
      8.040    346.101   -189.483     67.514    -72.784    -19.282    -51.312
      8.050    345.371   -189.674     67.000    -73.167    -19.071    -51.387
      8.060    344.637   -189.864     66.486    -73.551    -18.860    -51.462
      8.070    343.900   -190.052     65.971    -73.937    -18.647    -51.536
      8.080    343.159   -190.237     65.455    -74.323    -18.434    -51.611
      8.090    342.414   -190.420     64.939    -74.710    -18.219    -51.685
      8.100    341.665   -190.601     64.421    -75.098    -18.003    -51.758
      8.110    340.912   -190.780     63.903    -75.486    -17.786    -51.832
      8.120    340.155   -190.957     63.385    -75.876    -17.567    -51.905
      8.130    339.394   -191.132     62.865    -76.266    -17.348    -51.978
      8.140    338.629   -191.304     62.345    -76.658    -17.127    -52.051
      8.150    337.861   -191.474     61.824    -77.050    -16.905    -52.123
      8.160    337.088   -191.642     61.303    -77.443    -16.682    -52.195
      8.170    336.312   -191.808     60.780    -77.838    -16.457    -52.267
      8.180    335.532   -191.971     60.257    -78.233    -16.232    -52.339
      8.190    334.747   -192.132     59.734    -78.629    -16.005    -52.410
      8.200    333.959   -192.291     59.209    -79.026    -15.776    -52.481
      8.210    333.167   -192.448     58.684    -79.424    -15.547    -52.552
      8.220    332.371   -192.602     58.158    -79.823    -15.316    -52.623
      8.230    331.570   -192.754     57.632    -80.223    -15.084    -52.693
      8.240    330.766   -192.904     57.104    -80.624    -14.850    -52.763
      8.250    329.958   -193.051     56.576    -81.026    -14.616    -52.832
      8.260    329.146   -193.196     56.048    -81.429    -14.380    -52.902
      8.270    328.329   -193.339     55.518    -81.832    -14.142    -52.971
      8.280    327.509   -193.479     54.988    -82.237    -13.903    -53.039
      8.290    326.685   -193.617     54.457    -82.643    -13.663    -53.108
      8.300    325.856   -193.752     53.926    -83.050    -13.421    -53.176
      8.310    325.024   -193.885     53.394    -83.459    -13.178    -53.244
      8.320    324.187   -194.016     52.861    -83.868    -12.934    -53.311
      8.330    323.346   -194.144     52.328    -84.278    -12.688    -53.378
      8.340    322.501   -194.270     51.794    -84.689    -12.441    -53.445
      8.350    321.652   -194.393     51.259    -85.102    -12.192    -53.512
      8.360    320.799   -194.514     50.723    -85.515    -11.941    -53.578
      8.370    319.942   -194.632     50.187    -85.930    -11.690    -53.643
      8.380    319.081   -194.747     49.651    -86.345    -11.436    -53.709
      8.390    318.215   -194.860     49.113    -86.762    -11.182    -53.774
      8.400    317.345   -194.971     48.575    -87.180    -10.925    -53.839
      8.410    316.472   -195.079     48.036    -87.599    -10.667    -53.903
      8.420    315.594   -195.184     47.497    -88.019    -10.408    -53.967
      8.430    314.711   -195.287     46.957    -88.441    -10.147    -54.031
      8.440    313.825   -195.387     46.416    -88.863     -9.884    -54.094
      8.450    312.934   -195.485     45.875    -89.287     -9.620    -54.157
      8.460    312.039   -195.580     45.333    -89.712     -9.354    -54.220
      8.470    311.140   -195.672     44.791    -90.138     -9.086    -54.282
      8.480    310.236   -195.761     44.248    -90.565     -8.817    -54.343
      8.490    309.328   -195.848     43.704    -90.994     -8.546    -54.405
      8.500    308.416   -195.932     43.160    -91.424     -8.274    -54.466
      8.510    307.500   -196.014     42.615    -91.855     -8.000    -54.526
      8.520    306.579   -196.092     42.069    -92.287     -7.723    -54.587
      8.530    305.654   -196.168     41.523    -92.721     -7.446    -54.646
      8.540    304.725   -196.241     40.976    -93.156     -7.166    -54.706
      8.550    303.791   -196.311     40.429    -93.592     -6.885    -54.764
      8.560    302.853   -196.379     39.881    -94.029     -6.602    -54.823
      8.570    301.910   -196.443     39.332    -94.468     -6.317    -54.881
      8.580    300.964   -196.505     38.783    -94.908     -6.030    -54.939
      8.590    300.012   -196.564     38.233    -95.349     -5.741    -54.996
      8.600    299.057   -196.620     37.683    -95.792     -5.451    -55.052
      8.610    298.096   -196.673     37.132    -96.236     -5.158    -55.109
      8.620    297.132   -196.723     36.581    -96.681     -4.864    -55.164
      8.630    296.163   -196.770     36.029    -97.128     -4.567    -55.220
      8.640    295.189   -196.814     35.477    -97.576     -4.269    -55.274
      8.650    294.211   -196.856     34.924    -98.026     -3.969    -55.329
      8.660    293.229   -196.894     34.370    -98.477     -3.666    -55.382
      8.670    292.242   -196.929     33.816    -98.930     -3.362    -55.436
      8.680    291.250   -196.961     33.261    -99.383     -3.056    -55.489
      8.690    290.254   -196.990     32.706    -99.839     -2.747    -55.541
      8.700    289.253   -197.016     32.151   -100.296     -2.437    -55.593
      8.710    288.248   -197.039     31.594   -100.754     -2.124    -55.644
      8.720    287.238   -197.058     31.038   -101.214     -1.809    -55.694
      8.730    286.224   -197.075     30.481   -101.675     -1.492    -55.745
      8.740    285.205   -197.088     29.923   -102.138     -1.173    -55.794
      8.750    284.181   -197.098     29.365   -102.602     -0.851    -55.843
      8.760    283.153   -197.105     28.806   -103.068     -0.528    -55.892
      8.770    282.120   -197.109     28.247   -103.535     -0.202    -55.939
      8.780    281.082   -197.109     27.687   -104.004      0.127    -55.987
      8.790    280.040   -197.106     27.127   -104.475      0.457    -56.033
      8.800    278.992   -197.100     26.567   -104.947      0.790    -56.079
      8.810    277.941   -197.091     26.006   -105.421      1.126    -56.125
      8.820    276.884   -197.078     25.444   -105.896      1.463    -56.169
      8.830    275.823   -197.061     24.882   -106.374      1.804    -56.214
      8.840    274.757   -197.042     24.320   -106.852      2.146    -56.257
      8.850    273.686   -197.018     23.757   -107.333      2.491    -56.300
      8.860    272.610   -196.992     23.194   -107.815      2.839    -56.342
      8.870    271.529   -196.962     22.630   -108.299      3.189    -56.383
      8.880    270.444   -196.928     22.066   -108.784      3.542    -56.424
      8.890    269.354   -196.891     21.502   -109.271      3.898    -56.464
      8.900    268.259   -196.850     20.937   -109.760      4.256    -56.503
      8.910    267.158   -196.806     20.372   -110.251      4.617    -56.542
      8.920    266.053   -196.758     19.806   -110.744      4.980    -56.580
      8.930    264.944   -196.706     19.240   -111.238      5.346    -56.617
      8.940    263.829   -196.651     18.674   -111.734      5.716    -56.653
      8.950    262.709   -196.592     18.107   -112.232      6.087    -56.689
      8.960    261.584   -196.529     17.540   -112.732      6.462    -56.724
      8.970    260.454   -196.462     16.972   -113.234      6.840    -56.758
      8.980    259.319   -196.392     16.405   -113.737      7.220    -56.791
      8.990    258.179   -196.318     15.837   -114.243      7.604    -56.823
      9.000    257.035   -196.240     15.268   -114.750      7.991    -56.854
      9.010    255.884   -196.158     14.700   -115.259      8.380    -56.885
      9.020    254.729   -196.072     14.131   -115.770      8.773    -56.915
      9.030    253.569   -195.983     13.561   -116.284      9.169    -56.943
      9.040    252.404   -195.889     12.992   -116.799      9.568    -56.971
      9.050    251.233   -195.791     12.422   -117.316      9.970    -56.998
      9.060    250.057   -195.690     11.852   -117.835     10.375    -57.024
      9.070    248.876   -195.584     11.281   -118.356     10.784    -57.049
      9.080    247.690   -195.474     10.711   -118.880     11.196    -57.073
      9.090    246.499   -195.360     10.140   -119.405     11.612    -57.096
      9.100    245.302   -195.242      9.569   -119.932     12.031    -57.118
      9.110    244.100   -195.119      8.998   -120.462     12.453    -57.139
      9.120    242.893   -194.993      8.426   -120.993     12.879    -57.159
      9.130    241.680   -194.862      7.854   -121.527     13.308    -57.178
      9.140    240.462   -194.726      7.283   -122.063     13.741    -57.196
      9.150    239.239   -194.587      6.711   -122.601     14.178    -57.212
      9.160    238.010   -194.443      6.138   -123.142     14.619    -57.228
      9.170    236.776   -194.294      5.566   -123.684     15.063    -57.242
      9.180    235.537   -194.141      4.993   -124.229     15.511    -57.255
      9.190    234.292   -193.984      4.421   -124.776     15.963    -57.267
      9.200    233.041   -193.822      3.848   -125.326     16.419    -57.278
      9.210    231.785   -193.656      3.275   -125.877     16.879    -57.287
      9.220    230.523   -193.485      2.702   -126.431     17.343    -57.295
      9.230    229.256   -193.309      2.129   -126.988     17.811    -57.302
      9.240    227.984   -193.128      1.556   -127.546     18.283    -57.307
      9.250    226.705   -192.943      0.983   -128.107     18.759    -57.311
      9.260    225.422   -192.753      0.410   -128.671     19.240    -57.313
      9.270    224.132   -192.558     -0.163   -129.237     19.725    -57.314
      9.280    222.837   -192.359     -0.736   -129.805     20.214    -57.312
      9.290    221.536   -192.154     -1.309   -130.376     20.708    -57.309
      9.300    220.229   -191.944     -1.882   -130.949     21.207    -57.304
      9.310    218.917   -191.730     -2.455   -131.525     21.710    -57.297
      9.320    217.599   -191.510     -3.028   -132.103     22.218    -57.289
      9.330    216.275   -191.286     -3.601   -132.684     22.730    -57.279
      9.340    214.945   -191.056     -4.174   -133.268     23.247    -57.267
      9.350    213.609   -190.821     -4.746   -133.854     23.770    -57.254
      9.360    212.268   -190.580     -5.319   -134.442     24.297    -57.239
      9.370    210.921   -190.335     -5.891   -135.034     24.829    -57.222
      9.380    209.567   -190.084     -6.463   -135.628     25.366    -57.204
      9.390    208.208   -189.827     -7.035   -136.224     25.909    -57.183
      9.400    206.843   -189.565     -7.607   -136.824     26.457    -57.161
      9.410    205.471   -189.298     -8.178   -137.426     27.010    -57.137
      9.420    204.094   -189.025     -8.750   -138.031     27.569    -57.110
      9.430    202.711   -188.747     -9.321   -138.638     28.133    -57.082
      9.440    201.321   -188.462     -9.891   -139.248     28.703    -57.052
      9.450    199.926   -188.173    -10.462   -139.862     29.278    -57.019
      9.460    198.524   -187.877    -11.032   -140.478     29.860    -56.985
      9.470    197.116   -187.575    -11.601   -141.096     30.447    -56.948
      9.480    195.702   -187.268    -12.171   -141.718     31.040    -56.909
      9.490    194.282   -186.955    -12.740   -142.343     31.639    -56.868
      9.500    192.855   -186.635    -13.308   -142.970     32.245    -56.824
      9.510    191.423   -186.310    -13.876   -143.601     32.857    -56.778
      9.520    189.983   -185.978    -14.444   -144.234     33.475    -56.730
      9.530    188.538   -185.640    -15.011   -144.871     34.100    -56.679
      9.540    187.086   -185.296    -15.577   -145.510     34.732    -56.625
      9.550    185.628   -184.945    -16.143   -146.153     35.370    -56.569
      9.560    184.163   -184.588    -16.708   -146.798     36.015    -56.510
      9.570    182.692   -184.225    -17.273   -147.447     36.667    -56.449
      9.580    181.214   -183.855    -17.837   -148.098     37.326    -56.384
      9.590    179.730   -183.478    -18.401   -148.753     37.993    -56.317
      9.600    178.239   -183.095    -18.964   -149.411     38.666    -56.247
      9.610    176.741   -182.705    -19.526   -150.072     39.347    -56.174
      9.620    175.237   -182.308    -20.087   -150.737     40.036    -56.097
      9.630    173.727   -181.904    -20.648   -151.404     40.733    -56.018
      9.640    172.209   -181.494    -21.208   -152.075     41.437    -55.935
      9.650    170.685   -181.076    -21.766   -152.748     42.150    -55.849
      9.660    169.154   -180.650    -22.324   -153.426     42.871    -55.759
      9.670    167.617   -180.218    -22.882   -154.106     43.600    -55.666
      9.680    166.072   -179.778    -23.438   -154.789     44.337    -55.569
      9.690    164.521   -179.331    -23.993   -155.476     45.083    -55.469
      9.700    162.963   -178.877    -24.547   -156.167     45.838    -55.365
      9.710    161.397   -178.415    -25.100   -156.860     46.602    -55.257
      9.720    159.825   -177.945    -25.652   -157.557     47.375    -55.145
      9.730    158.246   -177.467    -26.203   -158.257     48.157    -55.029
      9.740    156.660   -176.981    -26.753   -158.961     48.949    -54.908
      9.750    155.067   -176.488    -27.301   -159.667     49.751    -54.784
      9.760    153.467   -175.986    -27.848   -160.378     50.562    -54.655
      9.770    151.860   -175.477    -28.394   -161.091     51.383    -54.521
      9.780    150.245   -174.959    -28.939   -161.808     52.215    -54.383
      9.790    148.623   -174.432    -29.482   -162.528     53.057    -54.240
      9.800    146.994   -173.897    -30.024   -163.252     53.910    -54.092
      9.810    145.358   -173.354    -30.564   -163.979     54.773    -53.939
      9.820    143.715   -172.802    -31.102   -164.709     55.648    -53.781
      9.830    142.064   -172.241    -31.639   -165.443     56.534    -53.618
      9.840    140.406   -171.671    -32.175   -166.180     57.431    -53.449
      9.850    138.740   -171.092    -32.708   -166.920     58.340    -53.275
      9.860    137.068   -170.504    -33.240   -167.664     59.261    -53.094
      9.870    135.387   -169.907    -33.770   -168.411     60.194    -52.908
      9.880    133.699   -169.300    -34.298   -169.161     61.140    -52.716
      9.890    132.004   -168.684    -34.825   -169.915     62.099    -52.517
      9.900    130.301   -168.058    -35.349   -170.671     63.070    -52.312
      9.910    128.590   -167.423    -35.871   -171.431     64.055    -52.101
      9.920    126.872   -166.777    -36.391   -172.194     65.053    -51.882
      9.930    125.147   -166.122    -36.908   -172.960     66.065    -51.656
      9.940    123.413   -165.456    -37.424   -173.730     67.091    -51.423
      9.950    121.672   -164.780    -37.937   -174.502     68.132    -51.183
      9.960    119.923   -164.093    -38.447   -175.277     69.187    -50.935
      9.970    118.166   -163.396    -38.955   -176.055     70.257    -50.679
      9.980    116.402   -162.688    -39.461   -176.836     71.343    -50.415
      9.990    114.630   -161.969    -39.964   -177.620     72.445    -50.142
     10.000    112.850   -161.239    -40.464   -178.407     73.562    -49.861
